name,run,term,weight,logged,value,walking,terrain_level
Pilot-01,train_260831-Go2_5var_1000,lin_vel_z_l2,-2.0,-0.059,0.0295,True,3.902
Pilot-01,train_260831-Go2_5var_1000,ang_vel_xy_l2,-0.05,-0.108,2.16,True,3.902
Pilot-01,train_260831-Go2_5var_1000,action_rate_l2,-0.01,-0.086,8.6,True,3.902
Pilot-01,train_260831-Go2_5var_1000,dof_torques_l2,-0.0002,-0.085,425,True,3.902
Pilot-01,train_260831-Go2_5var_1000,dof_acc_l2,-2.5e-07,-0.168,672000,True,3.902
Pilot-01,train_260831-Go2_5var_1000,feet_air_time,0.2,-0.025,-0.125,True,3.902
A015,go2_g_a015_pilot_feet_air_time_035,track_lin_vel_xy_exp,1.2,0.663,0.5525,False,1.771
A015,go2_g_a015_pilot_feet_air_time_035,track_ang_vel_z_exp,0.75,0.571,0.761333,False,1.771
A015,go2_g_a015_pilot_feet_air_time_035,lin_vel_z_l2,-2.0,-0.041,0.0205,False,1.771
A015,go2_g_a015_pilot_feet_air_time_035,ang_vel_xy_l2,-0.05,-0.089,1.78,False,1.771
A015,go2_g_a015_pilot_feet_air_time_035,action_rate_l2,-0.01,-0.077,7.7,False,1.771
A015,go2_g_a015_pilot_feet_air_time_035,dof_torques_l2,-0.0002,-0.077,385,False,1.771
A015,go2_g_a015_pilot_feet_air_time_035,dof_acc_l2,-2.5e-07,-0.133,532000,False,1.771
A015,go2_g_a015_pilot_feet_air_time_035,feet_air_time,0.35,-0.039,-0.111429,False,1.771
A016,go2_g_a016_pilot_ang_vel_xy_m015,track_lin_vel_xy_exp,1.2,0.253,0.210833,False,0.000
A016,go2_g_a016_pilot_ang_vel_xy_m015,track_ang_vel_z_exp,0.75,0.635,0.846667,False,0.000
A016,go2_g_a016_pilot_ang_vel_xy_m015,lin_vel_z_l2,-2.0,-0.012,0.006,False,0.000
A016,go2_g_a016_pilot_ang_vel_xy_m015,ang_vel_xy_l2,-0.15,-0.071,0.473333,False,0.000
A016,go2_g_a016_pilot_ang_vel_xy_m015,action_rate_l2,-0.01,-0.045,4.5,False,0.000
A016,go2_g_a016_pilot_ang_vel_xy_m015,dof_torques_l2,-0.0002,-0.036,180,False,0.000
A016,go2_g_a016_pilot_ang_vel_xy_m015,dof_acc_l2,-2.5e-07,-0.064,256000,False,0.000
A016,go2_g_a016_pilot_ang_vel_xy_m015,feet_air_time,0.2,-0.010,-0.05,False,0.000
A018,go2_g_a018_pilot_action_rate_m008,track_lin_vel_xy_exp,1.2,0.526,0.438333,False,1.166
A018,go2_g_a018_pilot_action_rate_m008,track_ang_vel_z_exp,0.75,0.544,0.725333,False,1.166
A018,go2_g_a018_pilot_action_rate_m008,lin_vel_z_l2,-2.0,-0.022,0.011,False,1.166
A018,go2_g_a018_pilot_action_rate_m008,ang_vel_xy_l2,-0.05,-0.076,1.52,False,1.166
A018,go2_g_a018_pilot_action_rate_m008,action_rate_l2,-0.008,-0.059,7.375,False,1.166
A018,go2_g_a018_pilot_action_rate_m008,dof_torques_l2,-0.0002,-0.064,320,False,1.166
A018,go2_g_a018_pilot_action_rate_m008,dof_acc_l2,-2.5e-07,-0.100,400000,False,1.166
A018,go2_g_a018_pilot_action_rate_m008,feet_air_time,0.2,-0.025,-0.125,False,1.166
A017,go2_g_a017_pilot_track_lin_vel_xy_140,track_lin_vel_xy_exp,1.4,0.945,0.675,True,4.216
A017,go2_g_a017_pilot_track_lin_vel_xy_140,track_ang_vel_z_exp,0.75,0.537,0.716,True,4.216
A017,go2_g_a017_pilot_track_lin_vel_xy_140,lin_vel_z_l2,-2.0,-0.054,0.027,True,4.216
A017,go2_g_a017_pilot_track_lin_vel_xy_140,ang_vel_xy_l2,-0.05,-0.125,2.5,True,4.216
A017,go2_g_a017_pilot_track_lin_vel_xy_140,action_rate_l2,-0.01,-0.105,10.5,True,4.216
A017,go2_g_a017_pilot_track_lin_vel_xy_140,dof_torques_l2,-0.0002,-0.098,490,True,4.216
A017,go2_g_a017_pilot_track_lin_vel_xy_140,dof_acc_l2,-2.5e-07,-0.195,780000,True,4.216
A017,go2_g_a017_pilot_track_lin_vel_xy_140,feet_air_time,0.2,-0.025,-0.125,True,4.216
A031,go2_g_a031_a017_feet_air_time_001,track_lin_vel_xy_exp,1.4,0.918,0.655714,True,4.783
A031,go2_g_a031_a017_feet_air_time_001,track_ang_vel_z_exp,0.75,0.534,0.712,True,4.783
A031,go2_g_a031_a017_feet_air_time_001,lin_vel_z_l2,-2.0,-0.054,0.027,True,4.783
A031,go2_g_a031_a017_feet_air_time_001,ang_vel_xy_l2,-0.05,-0.123,2.46,True,4.783
A031,go2_g_a031_a017_feet_air_time_001,action_rate_l2,-0.01,-0.100,10,True,4.783
A031,go2_g_a031_a017_feet_air_time_001,dof_torques_l2,-0.0002,-0.085,425,True,4.783
A031,go2_g_a031_a017_feet_air_time_001,dof_acc_l2,-2.5e-07,-0.193,772000,True,4.783
A031,go2_g_a031_a017_feet_air_time_001,feet_air_time,0.01,-0.001,,True,4.783
A032,go2_g_a032_a017_feet_air_time_010,track_lin_vel_xy_exp,1.4,0.929,0.663571,True,4.575
A032,go2_g_a032_a017_feet_air_time_010,track_ang_vel_z_exp,0.75,0.530,0.706667,True,4.575
A032,go2_g_a032_a017_feet_air_time_010,lin_vel_z_l2,-2.0,-0.067,0.0335,True,4.575
A032,go2_g_a032_a017_feet_air_time_010,ang_vel_xy_l2,-0.05,-0.140,2.8,True,4.575
A032,go2_g_a032_a017_feet_air_time_010,action_rate_l2,-0.01,-0.111,11.1,True,4.575
A032,go2_g_a032_a017_feet_air_time_010,dof_torques_l2,-0.0002,-0.095,475,True,4.575
A032,go2_g_a032_a017_feet_air_time_010,dof_acc_l2,-2.5e-07,-0.212,848000,True,4.575
A032,go2_g_a032_a017_feet_air_time_010,feet_air_time,0.1,-0.014,-0.14,True,4.575
G-A033,go2_g_a033_a017_track_lin_vel_xy_150,track_lin_vel_xy_exp,1.5,0.950,0.633333,True,4.710
G-A033,go2_g_a033_a017_track_lin_vel_xy_150,track_ang_vel_z_exp,0.75,0.503,0.670667,True,4.710
G-A033,go2_g_a033_a017_track_lin_vel_xy_150,lin_vel_z_l2,-2.0,-0.062,0.031,True,4.710
G-A033,go2_g_a033_a017_track_lin_vel_xy_150,ang_vel_xy_l2,-0.05,-0.151,3.02,True,4.710
G-A033,go2_g_a033_a017_track_lin_vel_xy_150,action_rate_l2,-0.01,-0.129,12.9,True,4.710
G-A033,go2_g_a033_a017_track_lin_vel_xy_150,dof_torques_l2,-0.0002,-0.102,510,True,4.710
G-A033,go2_g_a033_a017_track_lin_vel_xy_150,dof_acc_l2,-2.5e-07,-0.228,912000,True,4.710
G-A033,go2_g_a033_a017_track_lin_vel_xy_150,feet_air_time,0.2,-0.026,-0.13,True,4.710
