run,iteration,terrain,terrain_mean_last10
go2_g_a032_a017_feet_air_time_010,800,3.6443,3.5994
go2_g_a032_a017_feet_air_time_010,900,4.2557,4.2392
go2_g_a032_a017_feet_air_time_010,999,4.5819,4.5746
go2_g_a033_a017_track_lin_vel_xy_150,700,3.2328,3.1886
go2_g_a033_a017_track_lin_vel_xy_150,800,4.1259,4.0913
go2_g_a033_a017_track_lin_vel_xy_150,900,4.4937,4.4985
go2_g_a033_a017_track_lin_vel_xy_150,999,4.7087,4.7099
go2_g_a038_a033_ang_vel_xy_m008,700,0.8328,0.8280
go2_g_a038_a033_ang_vel_xy_m008,800,1.1376,1.1160
go2_g_a038_a033_ang_vel_xy_m008,900,1.9499,1.9024
go2_g_a038_a033_ang_vel_xy_m008,999,3.0348,2.9809
go2_g_a041_a033_ang_vel_xy_m004,700,3.4536,3.3988
go2_g_a041_a033_ang_vel_xy_m004,800,4.2239,4.2049
go2_g_a041_a033_ang_vel_xy_m004,900,4.5214,4.5143
go2_g_a041_a033_ang_vel_xy_m004,999,4.6058,4.5921
go2_g_a042_a033_track_lin_vel_xy_160,700,1.4091,1.3806
go2_g_a042_a033_track_lin_vel_xy_160,800,2.4099,2.3657
go2_g_a042_a033_track_lin_vel_xy_160,900,3.4008,3.3539
go2_g_a042_a033_track_lin_vel_xy_160,999,4.2050,4.1716
go2_g_a043_a033_lin_vel_z_m15,700,3.6077,3.5615
go2_g_a043_a033_lin_vel_z_m15,800,4.5948,4.5681
go2_g_a043_a033_lin_vel_z_m15,900,5.0146,5.0087
go2_g_a043_a033_lin_vel_z_m15,999,5.2393,5.2332
go2_g_a044_a033_lin_vel_z_m175,700,4.2693,4.2367
go2_g_a044_a033_lin_vel_z_m175,800,4.6104,4.6033
go2_g_a044_a033_lin_vel_z_m175,900,4.7298,4.7314
go2_g_a044_a033_lin_vel_z_m175,999,4.9246,4.9150
