arm,seed,case,env_id,fall_by_height_channel,fall_by_tilt_channel,fall_by_either,max_continuous_low_height_s,max_continuous_tilted_s,terrain_z_min,terrain_z_max,terrain_z_span_m
A033,202,stairs_10_down,25,1,1,1,6.18,6.42,-0.6989313013413373,-0.5112299791631851,0.18770132217815216
A033,202,stairs_10_down,26,0,0,0,0.0,0.0,-0.7000011505290149,-0.5304814710974056,0.16951967943160928
A033,202,stairs_10_down,27,0,0,0,0.24,0.0,-0.7000015993169285,-0.5459892150552516,0.15401238426167696
A033,202,stairs_10_down,28,0,0,0,0.16,0.0,-0.7000015993169285,-0.44064147459631936,0.25936012472060915
A033,202,stairs_10_down,29,0,0,0,0.1,0.0,-0.7000016707150056,-0.44224614638058257,0.25775552433442306
A033,202,stairs_10_down,30,1,0,1,8.88,0.0,-0.7000015789174778,-0.34438475950516484,0.355616819412313
A033,202,stairs_10_down,31,1,1,1,1.04,1.3,-0.7000016197163791,-0.4122991816882781,0.28770243802810097
A033,303,stairs_10_down,0,0,0,0,0.18,0.0,-0.7000015585180273,-0.25401065438826453,0.4459909041297627
A033,303,stairs_10_down,1,1,0,1,10.52,0.0,-0.7000017625125334,-0.22566826968269552,0.47433349282983794
A033,303,stairs_10_down,2,1,0,1,6.36,0.0,-0.700001548318302,-0.4422460239838789,0.25775552433442306
A033,303,stairs_10_down,3,1,0,1,6.66,0.0,-0.7000016707150056,-0.12834213379232642,0.5716595369226792
A033,303,stairs_10_down,4,1,0,1,2.76,0.0,-0.6978617887445949,-0.07860995613954921,0.6192518326050457
A033,303,stairs_10_down,5,1,0,1,1.36,0.0,-0.6989320867201861,-0.328876984948143,0.37005510177204315
A033,303,stairs_10_down,6,1,0,1,11.38,0.0,-0.7000015891172031,-0.4951870046197412,0.20481458449746193
A033,303,stairs_10_down,7,0,1,1,0.38,0.62,-0.7000016299161044,-0.40695176150072065,0.2930498684153837
A033,303,stairs_10_down,8,0,0,0,0.16,0.0,-0.7000003753498913,-0.5459892252549768,0.1540111500949145
A033,303,stairs_10_down,9,0,0,0,0.2,0.0,-0.7000012321268173,-0.42139023765523165,0.27861099447158566
A033,303,stairs_10_down,10,0,0,0,0.04,0.0,-0.6983961013549151,-0.5256683023218165,0.17272779903309865
A033,303,stairs_10_down,11,0,0,0,0.16,0.0,-0.6994664605288582,-0.4368984202012659,0.2625680403275923
A033,303,stairs_10_down,12,0,0,0,0.18,0.0,-0.7000012627259933,-0.434224490813393,0.2657767719126003
A033,303,stairs_10_down,13,0,0,0,0.14,0.0,-0.7000014361213235,-0.5304814710974056,0.16951996502391786
A033,303,stairs_10_down,14,0,0,0,0.44,0.42,-0.7000012627259933,-0.41283416748046875,0.28716709524552453
A033,303,stairs_10_down,15,0,0,0,0.14,0.0,-0.7000013443237958,-0.5363634690881413,0.16363787523565454
A033,303,stairs_10_down,16,0,0,0,0.1,0.0,-0.7000013341240704,-0.15240606012191366,0.5475952740021568
A033,303,stairs_10_down,17,0,0,0,0.22,0.0,-0.7000013341240704,-0.5187168223335143,0.18128451179055605
A033,303,stairs_10_down,18,0,0,0,0.22,0.0,-0.7000003345509901,-0.24973257340211918,0.4502677611488709
A033,303,stairs_10_down,19,1,0,1,13.28,0.0,-0.7000013035248945,-0.4197855556712431,0.28021574785365144
A033,303,stairs_10_down,20,1,0,1,0.5,0.0,-0.6967920925527971,-0.4326204514120989,0.26417164114069813
A033,303,stairs_10_down,21,1,0,1,10.84,0.0,-0.7000013545235211,-0.43422417462190843,0.26577717990161265
A033,303,stairs_10_down,22,0,0,0,0.3,0.0,-0.6983970295299183,-0.41390351688160615,0.2844935126483122
A033,303,stairs_10_down,23,1,0,1,5.02,0.0,-0.7000011607287402,-0.3973259645349839,0.30267519619375627
A033,303,stairs_10_down,24,0,0,0,0.0,0.0,-0.6994660423401206,-0.4732621442825399,0.22620389805758068
