arm,seed,case,env_id,rows,upright_frac,height_rel_mean,height_rel_min,height_rel_mean_last200,proj_grav_z_mean,proj_grav_z_min,proj_grav_z_mean_last200,speed_xy_mean,speed_xy_mean_last200,first_height_rel_below_0p18_step,terminated_any,term_base_contact_any,net_dx_m,net_dy_m,net_dxy_m,terrain_z_first,terrain_z_last,terrain_z_climb_m,root_z_first,root_z_last
A033,101,stairs_10_down,23,1000,0.995,0.2947321551625223,0.1741127252259994,0.30926946856504295,-0.9703228773474694,-1.0,-0.9597748417166335,0.14091056753063463,0.037657014044556965,138,0,0,0.06533917784690857,-0.43007373809814453,0.4350087681454494,-0.6978616663478913,-0.6967919191574667,0.0010697471904245193,-0.30039888620376587,-0.29999998211860657
A033,101,stairs_10_down,24,1000,0.954,0.24688369153566755,0.16111183644616028,0.23942664332422228,-0.9782954722642898,-1.0,-0.9682630247144557,0.2280656755868894,0.09413602354648824,113,0,0,-0.7398161292076111,0.06646728515625,0.7427959376785626,-0.6962581369328626,-0.6941184079583316,0.0021397289745310744,-0.3006293773651123,-0.29999998211860657
A033,101,stairs_10_down,25,1000,0.933,0.26724210226519884,0.14910723101646506,0.25716367361749304,-0.9762861281633377,-1.0,-0.9617718114188655,0.20642359465818066,0.04313176168813962,208,0,0,-0.8490555584430695,0.30057716369628906,0.9006897205246535,-0.6946536589433803,-0.7000008139380797,-0.005347154994699399,-0.3005332052707672,-0.29999998211860657
A033,101,stairs_10_down,26,1000,0.93,0.24019143659497968,0.13433651554393256,0.23598691730312527,-0.9717894866466522,-1.0,-0.9564759808393261,0.17336574844058897,0.11575772363804868,161,0,0,0.16739021241664886,0.18519210815429688,0.2496309278425324,-0.7000009669339593,-0.6994661035384724,0.0005348633954869175,-0.3009062111377716,-0.29999998211860657
A033,101,stairs_10_down,27,1000,0.884,0.24966015321478469,0.1113951501043085,0.2520039140326568,-0.891530649125576,-1.0,-0.5359255582539003,0.215003457488096,0.23727385893015907,172,1,1,-0.6033927798271179,0.9498672485351562,1.1253135725597756,-0.6946531387573895,-0.649733324101902,0.044919814655487555,-0.3011719882488251,-0.3497103750705719
A033,101,stairs_10_down,28,1000,0.983,0.25856258757571826,0.16650379676232363,0.2549188656190649,-0.9821204413175583,-1.0,-0.9785428512748794,0.15093239860978902,0.059879697523907156,130,0,0,0.5550248026847839,0.12157535552978516,0.5681840359139607,-0.7000009057356075,-0.6973270375460865,0.002673868189520978,-0.30069175362586975,-0.29999998211860657
A033,101,stairs_10_down,29,1000,1.0,0.2559571043715119,0.19952298390036594,0.2608655258629814,-0.9785875760316849,-1.0,-0.9762011929531003,0.14974502160582093,0.04098675537087595,,0,0,0.41589614748954773,-0.2148151397705078,0.4680973721046407,-0.6967922659481273,-0.7000008037383544,-0.0032085377902271173,-0.3007355034351349,-0.29999998211860657
A033,101,stairs_10_down,30,1000,0.979,0.29807127163013325,0.15281883300466334,0.3171226371904387,-0.9715992159843445,-1.0,-0.9344743872756389,0.25542018920323545,0.05312191902562327,580,0,0,0.1581408977508545,-0.05361461639404297,0.16698224645909696,-0.7000006711419253,-0.7000008139380797,-1.4279615434542592e-07,-0.30031442642211914,-0.29999998211860657
A033,101,stairs_10_down,31,1000,0.99,0.2999958876451481,0.16613560054391463,0.31157152395035664,-0.9846424408555031,-1.0,-0.990127612109208,0.2768152425628846,0.22170963986165304,157,0,0,-0.5694112777709961,-0.5609035491943359,0.7992759190364748,-0.7000010077328606,-0.6978618703423974,0.0021391373904631195,-0.3005249500274658,-0.29999998211860657
A033,202,stairs_10_down,0,1000,0.901,0.2230252523973665,0.15087438904665373,0.2358077597100505,-0.9519543132185936,-1.0,-0.966005000012431,0.17434256796051495,0.2212949349880012,99,0,0,0.289054200053215,-0.8245573043823242,0.8737545872718775,-0.696792949329723,-0.6967923271464792,6.22183243814689e-07,-0.301044225692749,-0.29999998211860657
A033,202,stairs_10_down,1,1000,0.989,0.2793445622071542,0.16046200047202286,0.29932777592618204,-0.9568530120253563,-1.0,-0.928582356343815,0.19557527743447886,0.09679690852142075,103,0,0,-0.8012184500694275,-0.047736167907714844,0.8026392380504265,-0.6930489055613146,-0.698931291141612,-0.005882385580297411,-0.3007122278213501,-0.29999998211860657
A033,202,stairs_10_down,2,1000,0.993,0.27381284896828,0.1738626572856291,0.26636869739084473,-0.9906142578721047,-1.0,-0.9849503259753707,0.20610801244406465,0.07190223893709427,222,0,0,-0.05020621418952942,-0.11389636993408203,0.12447106903777347,-0.6973271395433396,-0.6951879409545245,0.002139198588815061,-0.30033424496650696,-0.29999998211860657
A033,202,stairs_10_down,3,1000,0.995,0.3275717203617095,0.1750339531006022,0.3341041698171353,-0.9412995479106903,-1.0,-0.9245323268928338,0.10852449865594721,0.041753833503034514,155,0,0,-0.3247312307357788,0.11696147918701172,0.3451526616278475,-0.7000007425400026,-0.6951880123526017,0.004812730187400804,-0.300588458776474,-0.29999998211860657
A033,202,stairs_10_down,4,1000,0.999,0.2714270048382125,0.17991513332581133,0.2718357131660966,-0.9812660336494445,-1.0,-0.9800564130740379,0.17564445838765189,0.07156049355462898,221,0,0,0.40829184651374817,-0.8961524963378906,0.9847799391855213,-0.6973270171466358,-0.6946532101554667,0.0026738069911691476,-0.3007758855819702,-0.29999998211860657
A033,202,stairs_10_down,5,1000,1.0,0.3244714005046694,0.2066574517418357,0.365670556974458,-0.9858926418423652,-1.0,-0.9884361675129602,0.3922405576502481,0.4780045969623827,,0,0,-0.6741285920143127,-0.06786632537841797,0.6775361220566539,-0.6994659505425928,-0.6983965093439276,0.0010694411986651442,-0.3004741966724396,-0.29999998211860657
A033,202,stairs_10_down,6,1000,0.538,0.1966423140130741,0.08206195691052603,0.10290160137939668,-0.9117190751433373,-1.0,-0.8436079413736638,0.12572891644990816,0.014419990358102163,156,0,0,0.039617955684661865,-0.32782649993896484,0.33021174490751226,-0.699466225935176,-0.7000009159353328,-0.0005346900001567123,-0.3003515601158142,-0.29999998211860657
A033,202,stairs_10_down,7,1000,0.95,0.26296644099670263,0.15430410724272703,0.31082743742956487,-0.9617620792388916,-1.0,-0.9165795039181686,0.14086686859746153,0.024931421441070238,192,0,0,-0.802162766456604,0.10033893585205078,0.8084138828206962,-0.6983971111277208,-0.6978617377459684,0.0005353733817524686,-0.30040836334228516,-0.29999998211860657
