arm,seed,case,env_id,rows,upright_frac,height_rel_mean,height_rel_min,height_rel_mean_last200,proj_grav_z_mean,proj_grav_z_min,proj_grav_z_mean_last200,speed_xy_mean,speed_xy_mean_last200,first_height_rel_below_0p18_step,terminated_any,term_base_contact_any,net_dx_m,net_dy_m,net_dxy_m,terrain_z_first,terrain_z_last,terrain_z_climb_m,root_z_first,root_z_last
A033,202,rough_lateral,7,1000,0.979,0.3685686624593591,0.15083985939064126,0.39026736878059837,-0.9594748837351799,-1.0,-0.9925744293340996,0.18230979448304258,0.19051334673370468,285,1,1,-2.052451580762863,-0.7429533004760742,2.1827819630151493,0.06158456445377778,0.06048158655829608,-0.0011029778954817007,0.49985167384147644,0.4445054531097412
A033,202,rough_lateral,8,1000,0.869,0.30552468842315805,0.08685632018163242,0.3140487316829848,-0.7796590557098388,-1.0,-0.9631008158868818,0.27267312072019234,0.25936637182601635,60,1,1,0.4385177046060562,-0.15931177139282227,0.4665597686870175,0.060780815899690845,0.05997488460438774,-0.0008059312953031042,0.49929144978523254,0.3566400706768036
A033,202,rough_lateral,9,1000,1.0,0.3653432150420974,0.22372489721379815,0.38365609544766005,-0.9868853991031646,-1.0,-0.9954980178851986,0.19414360566793865,0.18335465171045207,,0,0,-0.44155681133270264,0.16907930374145508,0.4728215610439092,0.06115048454407065,0.0609043957715366,-0.0002460887725340491,0.49975818395614624,0.5
A033,202,rough_lateral,10,1000,0.952,0.367247815967005,0.10124580729453958,0.3422275440372003,-0.9052784383296967,-1.0,-0.7878333881719789,0.21486765528440885,0.14318886398343514,701,1,1,-0.30674849450588226,0.3338193893432617,0.4533541921975945,0.059675165676178143,0.06006791629893257,0.0003927506227544286,0.4996737539768219,0.43262332677841187
A033,202,rough_lateral,11,1000,0.919,0.32799155111563094,0.11244197787448046,0.31376736207368905,-0.8605059507489204,-1.0,-0.9741638569689509,0.21120201371146038,0.15881756407713749,161,1,1,-0.748778909444809,0.5056867599487305,0.9035424474903226,0.05946574491613051,0.05763955549760298,-0.001826189418527531,0.49967899918556213,0.3294547498226166
A033,202,rough_lateral,12,1000,0.966,0.33415057484566474,0.1165188378828732,0.3474068937933537,-0.9415906987786293,-1.0,-0.9796567953641142,0.23285970436552475,0.2065065640689475,346,1,1,-1.0351278185844421,-0.732083797454834,1.267847107226765,0.06141295407545121,0.059741729083545705,-0.0016712249919055011,0.4994702637195587,0.4458906352519989
A033,202,rough_lateral,13,1000,0.967,0.347589151223793,0.08529689182890927,0.36264479295179275,-0.9292465536594391,-1.0,-0.9806425805708662,0.20327150752367495,0.18658713054081064,715,1,1,-0.21815992146730423,0.9890973567962646,1.012870837054744,0.06141555500540504,0.05918630304183552,-0.0022292519635695243,0.5000343322753906,0.35127437114715576
A033,202,rough_lateral,14,1000,0.962,0.3082126009672242,0.1213632389345271,0.2645037769573559,-0.9221392191052437,-1.0,-0.8125254105572677,0.1930004272505196,0.10193524676230359,510,1,1,0.09843134880065918,-0.29709768295288086,0.3129788549450067,0.06176659895137032,0.06149115536939652,-0.0002754435819738027,0.49933573603630066,0.28160905838012695
A033,202,rough_lateral,15,1000,0.969,0.34076961015642926,0.0757045289252531,0.3576355646455945,-0.9391570553183556,-1.0,-0.994303035202311,0.22661009982812197,0.23837605825339173,615,1,1,-0.6067687291651964,-0.9970006942749023,1.1671241044025202,0.059945927584235045,0.057736024499576995,-0.0022099030846580506,0.49954667687416077,0.36884239315986633
A033,202,rough_lateral,16,1000,1.0,0.37684867197864846,0.22610011760563775,0.3696139331737653,-0.989001809835434,-1.0,-0.9934631761033736,0.16458244789928406,0.1955575161010325,,0,0,0.3334266170859337,0.16431903839111328,0.3717177092353148,0.05808175438865621,0.05848589810458096,0.0004041437159247527,0.5000335574150085,0.5
A033,202,rough_lateral,17,1000,0.94,0.3225874461789024,0.10165194736763755,0.3184801089795991,-0.8808444176912308,-1.0,-0.9725026571335484,0.18443846900927527,0.1440196998402244,136,1,1,-0.43573810160160065,1.0829949378967285,1.1673670068565865,0.05805190999240161,0.06020741794198592,0.002155507949584308,0.4998736083507538,0.43062102794647217
A033,202,rough_lateral,18,1000,0.983,0.3681785466681348,0.1345233503669341,0.37214096947799963,-0.9659195739030838,-1.0,-0.988788414653854,0.16452688599941373,0.20175915738691677,484,1,1,-0.9420681782066822,-1.4617626667022705,1.7390349467892214,0.0573096759816542,0.06205867828532336,0.004749002303669161,0.4998883306980133,0.4479485750198364
A033,202,rough_lateral,19,1000,1.0,0.3792596939821299,0.23367410706963768,0.3959164447341294,-0.9918411186337471,-1.0,-0.9906020309794602,0.1586354873739061,0.18058161484730292,,0,0,-0.6528227180242538,-0.6173050403594971,0.8984670355788323,0.05757508303392379,0.05350955412349599,-0.004065528910427801,0.4999522268772125,0.5
A033,202,rough_lateral,20,1000,0.964,0.31782276594654785,0.11704628751239675,0.30426351191449674,-0.9236330723762513,-1.0,-0.6897865634652512,0.2033607624248838,0.21523100942590287,830,1,1,-0.5276122987270355,0.5119571685791016,0.7351699668971504,0.059420478535208474,0.05734868993096173,-0.002071788604246741,0.49978768825531006,0.3952113091945648
A033,202,rough_lateral,21,1000,0.962,0.3604209205948094,0.12523715827554305,0.3453972440438047,-0.9329787415862083,-1.0,-0.9784664363410343,0.17354483633661857,0.11181083368351519,174,1,1,1.3400883674621582,1.5293703079223633,2.033423313371305,0.059072474107385316,0.059585744684392754,0.0005132705770074381,0.5002041459083557,0.3960976004600525
A033,202,rough_lateral,22,1000,1.0,0.3677478874502656,0.28705234530775303,0.3648588148772512,-0.9886496160626411,-1.0,-0.9917769672265694,0.194537188506242,0.23092331931773458,,0,0,0.4343898296356201,0.8917675018310547,0.9919394141845878,0.05424983998670935,0.05856280403341201,0.004312964046702665,0.499490350484848,0.5
A033,202,rough_lateral,23,1000,0.94,0.3281506604638331,0.10948957670181192,0.32207522796733606,-0.8892689188718795,-1.0,-0.7554143868868624,0.2141626334055981,0.272160789922665,639,1,1,0.21296116709709167,-0.27974581718444824,0.351582395639415,0.05685299348066197,0.057139258971188794,0.0002862654905268214,0.4997537136077881,0.4233889877796173
A033,202,rough_lateral,24,1000,1.0,0.3811791360864343,0.3435337725170156,0.3807285905588424,-0.9911856136918068,-1.0,-0.9941160020543568,0.14054031554914567,0.15369614553305674,,0,0,0.5296412110328674,-0.49036216735839844,0.721785887643135,0.058751519351082054,0.059149410635392294,0.00039789128431023946,0.5002871155738831,0.5
A033,202,rough_lateral,25,1000,0.873,0.31477078360080013,0.08917241611263968,0.31455151836917833,-0.7819844202399254,-1.0,-0.9660350712970714,0.2504109203467582,0.20842360148288772,50,1,1,0.593041330575943,0.5748491287231445,0.8259234471578122,0.05551466712339677,0.059545792360356786,0.0040311252369600176,0.4998510777950287,0.32883188128471375
A033,202,rough_lateral,26,1000,1.0,0.37780400807701325,0.25665765283579495,0.39016008516227235,-0.9923177480697631,-1.0,-0.9908849341952386,0.17654927702049528,0.15466307645976085,,0,0,-0.2800204008817673,0.37529563903808594,0.46825019123433465,0.06023427381872493,0.05639646397554938,-0.0038378098431755547,0.49962013959884644,0.5
A033,202,rough_lateral,27,1000,0.918,0.3227755732415993,0.1328479413361473,0.3230739609098816,-0.8675438393950462,-1.0,-0.8011024137634543,0.2114406281126596,0.17514692793050712,115,1,1,0.24686057027429342,0.5994338989257812,0.6482755126776832,0.05841377584691991,0.06121999567205256,0.0028062198251326484,0.4996779263019562,0.4237481951713562
A033,202,rough_lateral,28,1000,0.999,0.3509564154820648,0.19703935110632748,0.37352368849046363,-0.9805553048849106,-1.0,-0.9857935279756043,0.16600118361128463,0.11616772278870097,,0,0,-0.14646092802286148,-0.3336515426635742,0.364381881216809,0.058889062646876045,0.0569014727750564,-0.001987589871819642,0.5002503395080566,0.5
A033,202,rough_lateral,29,1000,1.0,0.36502833960862724,0.21775412288579074,0.3768038066454363,-0.9875750504732131,-1.0,-0.9877815587603631,0.1689540516257353,0.15745410418024552,,0,0,-0.508193850517273,0.5104103088378906,0.7202636135968298,0.05981388194038269,0.05703376321231618,-0.002780118728066508,0.5000935196876526,0.5
A033,202,rough_lateral,30,1000,1.0,0.3175112669026471,0.2795135362900515,0.3145517102824334,-0.9716940878629684,-1.0,-0.9701320282855437,0.10814591030997939,0.0968738486755969,,0,0,-0.08284963667392731,0.21559524536132812,0.23096617094157543,0.060730174263530876,0.05989135905383105,-0.0008388152096998266,0.4998644292354584,0.5
A033,202,rough_lateral,31,1000,0.811,0.298470280511972,0.10348709676673706,0.30010174119970756,-0.7199384471178055,-1.0,-0.908923837082896,0.27037937896349223,0.23749370934029823,57,1,1,0.05417622625827789,0.45023345947265625,0.45348123612813807,0.058265094451088316,0.058109793433531086,-0.00015530101755723003,0.4996539354324341,0.4197901487350464
A033,303,rough_lateral,0,1000,0.979,0.3625386638500313,0.1448998725350528,0.33351098501237,-0.9585340513586998,-1.0,-0.8241794901107674,0.2172145110840636,0.26453871122067135,839,1,1,0.7078116834163666,0.7616214752197266,1.0397425886711495,0.05804879907618232,0.05843255354121407,0.00038375446503174926,0.5002559423446655,0.3538915812969208
A033,303,rough_lateral,1,1000,0.875,0.32510981040595416,0.09917842218263902,0.3356726241826307,-0.7970579251646995,-1.0,-0.9910539780090104,0.22285085936546123,0.18739148193241315,400,1,1,0.3432409465312958,1.1857070922851562,1.234388778331616,0.05972895902745864,0.05995516853536514,0.00022620950790649963,0.5001853704452515,0.42561623454093933
A033,303,rough_lateral,2,1000,0.97,0.34950834050344254,0.11793653945871853,0.3443729132116531,-0.9430450056195259,-1.0,-0.9904264285789793,0.11042076533537003,0.08664386922445283,385,1,1,0.15271232277154922,0.026884078979492188,0.15506065661171892,0.05663891144614806,0.05868072305771119,0.002041811611563124,0.5000216364860535,0.39774417877197266
A033,303,rough_lateral,3,1000,0.943,0.34900072526931736,0.07551959810409954,0.3211600006326007,-0.8916070347428322,-1.0,-0.9723036523482099,0.17300671190867997,0.11897896280946925,41,1,1,0.033738791942596436,-0.16858863830566406,0.17193148358431573,0.059327344843410554,0.059722247608205214,0.0003949027647946607,0.4999992251396179,0.3937968611717224
A033,303,rough_lateral,4,1000,0.961,0.3733619352023707,0.10519261068520061,0.3830813930684616,-0.9433765228390694,-1.0,-0.9930643978996656,0.18345602662730207,0.15774303772945597,404,1,1,-1.2664487957954407,-2.1820287704467773,2.522923325713486,0.05816747288015437,0.060406006593755224,0.002238533713600853,0.4999796152114868,0.44312784075737
A033,303,rough_lateral,5,1000,1.0,0.36199527618783,0.24459317581538847,0.3493019514574565,-0.9856244846582413,-1.0,-0.9846568653239539,0.13105371016636394,0.1255289754309085,,0,0,0.2013157606124878,0.32152462005615234,0.3793495970384542,0.059994886265719,0.05961982196665065,-0.0003750642990683478,0.5001826882362366,0.5
A033,303,rough_lateral,6,1000,1.0,0.38032491071944563,0.2530978068629688,0.3860491940708905,-0.9904436483979225,-1.0,-0.9945389349662249,0.17621872480075068,0.1692637780908113,,0,0,0.30050909519195557,0.0748891830444336,0.30970002588012563,0.058367734286874376,0.060105726680653615,0.001737992393779239,0.4999970495700836,0.5
A033,303,rough_lateral,7,1000,1.0,0.38119687740799635,0.24738372073454015,0.39690268278680146,-0.9919472702741623,-1.0,-0.9935285392685316,0.19745060703236078,0.19229856052838165,,0,0,-0.005905807018280029,0.13465309143066406,0.13478254185306027,0.06021854584229821,0.05898664341890875,-0.0012319024233894554,0.5001629590988159,0.5
A033,303,rough_lateral,8,1000,1.0,0.36175182666019917,0.20329757919286023,0.36124996893562017,-0.9755654383897782,-1.0,-0.9847519406631812,0.16982337056871372,0.15371102840576067,,0,0,-0.028516873717308044,-0.913780927658081,0.9142257904031542,0.057855320486792906,0.05761431117746282,-0.00024100930933008968,0.5002168416976929,0.5
A033,303,rough_lateral,9,1000,1.0,0.37722338874901123,0.31475506364343,0.37726207297966013,-0.9931408863663673,-1.0,-0.9945515222217313,0.20034695308526515,0.21269759853196515,,0,0,0.10685574263334274,0.04997444152832031,0.11796437826645248,0.05649196400361903,0.05775765811695772,0.0012656941133386904,0.4996868669986725,0.5
A033,303,rough_lateral,10,1000,0.968,0.3674503272453094,0.09472178791296036,0.35965036195721306,-0.9387798471450806,-1.0,-0.9923495089829858,0.18649643512421776,0.1468575694795775,194,1,1,0.40851256251335144,-1.515462875366211,1.5695573389795126,0.05686810947357015,0.05756736184186476,0.0006992523682946145,0.4996192753314972,0.42492595314979553
A033,303,rough_lateral,11,1000,0.952,0.35145874069017535,0.08968009572615598,0.38171180919073217,-0.9189611569046974,-1.0,-0.9908494291020863,0.21401093572886598,0.19823328930716957,317,1,1,-0.9313068091869354,2.04402232170105,2.246187798125994,0.05717372384300844,0.05820254973549256,0.0010288258924841254,0.4993983507156372,0.41752851009368896
A033,303,rough_lateral,12,1000,1.0,0.3594817241594428,0.2311737629819044,0.3210811628707216,-0.9878005527257919,-1.0,-0.9712716854033778,0.19742859826793138,0.21223013681386738,,0,0,-0.11745920777320862,-0.3305511474609375,0.350800123401421,0.056307410173875125,0.0582240813556202,0.0019166711817450721,0.5001179575920105,0.5
A033,303,rough_lateral,13,1000,0.981,0.3650828639403544,0.0863366624250769,0.36326391182083256,-0.9564139663577079,-1.0,-0.838333630739753,0.1537576455128689,0.23769325868418384,912,1,1,-0.006976008415222168,-0.18824124336242676,0.18837046051873851,0.055212765453971004,0.056627508153252425,0.001414742699281421,0.5001223683357239,0.4468495845794678
A033,303,rough_lateral,14,1000,0.941,0.3078466265176869,0.10585533233887372,0.33888664093957505,-0.8727017964124679,-1.0,-0.9884962202304631,0.2380676754825537,0.19482493106502588,52,1,1,1.7523705661296844,0.3833346366882324,1.7938082519384757,0.05806328268612132,0.061073864207548255,0.0030105815214269346,0.4995418190956116,0.4330706000328064
A033,303,rough_lateral,15,1000,1.0,0.3728562330262548,0.23682204000452622,0.3572955224021275,-0.990990848004818,-1.0,-0.9811897108803934,0.15025714671410936,0.11072874124537706,,0,0,0.09162762761116028,0.1916656494140625,0.21244138793315154,0.057530051246683866,0.05633145092642881,-0.0011986003202550596,0.49983522295951843,0.5
A033,303,rough_lateral,16,1000,0.933,0.33432610287154707,0.11066817998248626,0.34916123883726813,-0.868046557188034,-1.0,-0.8010633134130222,0.2357936392590019,0.2983312724929074,61,1,1,0.28022684156894684,-0.2689499855041504,0.3884085187510572,0.05934129806763348,0.058723347709778155,-0.0006179503578553278,0.49991270899772644,0.34016668796539307
A033,303,rough_lateral,17,1000,0.949,0.3561708562694449,0.09560786028278065,0.31807796108445807,-0.9053845110535622,-1.0,-0.5711419988627457,0.21828338696553912,0.292900538576067,827,1,1,0.3098209351301193,0.48972511291503906,0.5794995237828495,0.057209351483513325,0.05555800575623538,-0.0016513457272779447,0.4996047914028168,0.4595393240451813
A033,303,rough_lateral,18,1000,0.968,0.3283216425905569,0.1252460668590617,0.31486875007668064,-0.9211396819353104,-1.0,-0.969878244162792,0.2309208806621269,0.22708325417616287,356,1,1,-1.4566885232925415,0.02029561996459961,1.4568299029337477,0.05562961802763097,0.05900293238022748,0.00337331435259651,0.49984368681907654,0.4348640441894531
A033,303,rough_lateral,19,1000,0.956,0.3456775503574529,0.07413394071839072,0.3545624029735652,-0.9239842964410782,-1.0,-0.9928522537003702,0.24818832506505137,0.2169845006971998,105,1,1,-1.377969741821289,-3.2072367072105408,3.4907259854439654,0.05850378842277323,0.05270617275952018,-0.005797615663253049,0.49971503019332886,0.4379177689552307
A033,303,rough_lateral,20,1000,0.963,0.3219060751134386,0.10887358365530636,0.2822204252121362,-0.9214411369562149,-1.0,-0.941432194923287,0.1803320605517864,0.18715626130667198,680,1,1,0.33107904344797134,0.08235764503479004,0.3411687481380734,0.06120811299206739,0.06196773753446691,0.0007596245423995215,0.4993586838245392,0.24308262765407562
A033,303,rough_lateral,21,1000,1.0,0.36982889542126995,0.2852671001365478,0.37607005599535426,-0.9881019272208214,-1.0,-0.992966702624933,0.14608622781283276,0.20085705629053907,,0,0,-0.12809421867132187,0.03368854522705078,0.13245016774821944,0.05639186389943495,0.05595012399602064,-0.00044173990341431213,0.49993082880973816,0.5
A033,303,rough_lateral,22,1000,1.0,0.37480525512284174,0.27468552834847393,0.3854622066767867,-0.9905802835226059,-1.0,-0.9937575414999208,0.1567404931033921,0.17508803800944087,,0,0,0.5654018223285675,-0.2851572036743164,0.6332407531893541,0.05729131647609772,0.05684715923778513,-0.0004441572383125855,0.5004826784133911,0.5
A033,303,rough_lateral,23,1000,0.905,0.33118382476851876,0.10251051474382533,0.2890413773056832,-0.8534743044376373,-1.0,-0.8341363333350983,0.21860197055412134,0.23676900138192203,556,1,1,0.12403560429811478,-0.22091460227966309,0.2533536907842083,0.05511538867644448,0.057854412711240394,0.0027390240347959158,0.5001106858253479,0.414334774017334
A033,303,rough_lateral,24,1000,1.0,0.3647251308306972,0.21878701671559542,0.36197471746941795,-0.9859340172410012,-1.0,-0.9847037190228553,0.20705015782634348,0.20253844956464256,,0,0,-0.006073951721191406,0.016460418701171875,0.017545320553619213,0.06156252284738469,0.05993738021442597,-0.0016251426329587232,0.5002128481864929,0.5
A033,303,rough_lateral,25,1000,1.0,0.34342030502560894,0.2068149806025194,0.32443100996982494,-0.9816509379148484,-1.0,-0.9753766071737109,0.1777782525235327,0.14848048444629983,,0,0,-0.15985515713691711,0.4446601867675781,0.4725212724941026,0.061580168372169536,0.06124036452349495,-0.00033980384867458857,0.499858021736145,0.5
