arm,case,seed,env_id,observed,valid_seconds,stall_seconds,stall_share,first_step_time_s,censored,reason
go2_g_a033_a017_track_lin_vel_xy_150,stairs_10_down,303,26,True,19.48,13.62,0.699179,3.76,False,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_10_down,303,27,True,19.48,0.0,0.0,5.64,False,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_10_down,303,28,True,19.48,2.04,0.104723,4.16,False,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_10_down,303,29,True,19.48,1.04,0.053388,6.18,False,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_10_down,303,30,True,19.48,12.36,0.634497,5.22,False,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_10_down,303,31,True,16.38,1.36,0.083028,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,101,0,True,19.48,0.0,0.0,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,101,1,True,19.48,12.96,0.665298,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,101,2,True,19.48,14.12,0.724846,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,101,3,True,19.48,11.92,0.61191,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,101,4,True,19.48,10.82,0.555441,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,101,5,True,19.48,11.38,0.584189,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,101,6,True,19.48,12.66,0.649897,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,101,7,True,19.48,8.68,0.445585,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,101,8,True,19.48,10.94,0.561602,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,101,9,True,19.48,10.54,0.541068,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,101,10,True,19.48,15.14,0.777207,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,101,11,True,4.98,0.0,0.0,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,101,12,True,19.48,11.28,0.579055,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,101,13,True,19.48,14.74,0.756674,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,101,14,True,19.48,12.56,0.644764,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,101,15,True,19.48,3.68,0.188912,5.56,False,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,101,16,True,19.48,11.9,0.610883,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,101,17,True,19.48,9.68,0.49692,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,101,18,True,19.48,12.64,0.648871,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,101,19,True,19.48,13.86,0.711499,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,101,20,True,19.48,11.22,0.575975,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,101,21,True,19.48,6.44,0.330595,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,101,22,True,19.48,14.66,0.752567,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,101,23,True,19.48,12.92,0.663244,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,101,24,True,19.48,15.66,0.803901,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,101,25,True,19.48,15.26,0.783368,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,101,26,True,19.48,10.8,0.554415,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,101,27,True,19.48,14.94,0.76694,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,101,28,True,19.48,17.14,0.879877,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,101,29,True,19.48,14.9,0.764887,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,101,30,True,19.48,10.24,0.525667,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,101,31,True,19.48,10.18,0.522587,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,202,0,True,19.48,10.2,0.523614,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,202,1,True,19.48,17.14,0.879877,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,202,2,True,19.48,14.54,0.746407,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,202,3,True,19.48,14.04,0.720739,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,202,4,True,19.48,7.44,0.38193,,True,
